species,body_mass_kg,trophic_guild,probability_extinction
Zaglossus bartoni,7,insectivore,0.37
Trachypithecus cristatus,7,herbivore,0.29
Alouatta pigra,7,herbivore,0.56
Trachypithecus obscurus,7,herbivore,0.29
Macaca siberu,7,herbivore,0.39
Dendrolagus matschiei,7,herbivore,0.59
Cercocebus galeritus,7,herbivore,0.56
Trachypithecus germaini,7,herbivore,0.57
Ateles chamek,7,herbivore,0.50
Presbytis femoralis,7,herbivore,0.29
Cercocebus atys,7,herbivore,0.26
Myocastor coypus,7,herbivore,0.25
Procyon cancrivorus,7,omnivore,0.23
Petrogale penicillata,7,herbivore,0.51
Herpailurus yagouaroundi,7,carnivore,0.22
Nomascus gabriellae,7,herbivore,0.46
Hoolock hoolock,7,herbivore,0.45
Hoolock leuconedys,7,herbivore,0.34
Ateles hybridus,7,herbivore,0.69
Ateles belzebuth,7,herbivore,0.52
Presbytis thomasi,7,herbivore,0.41
Dendrolagus lumholtzi,7,herbivore,0.36
Nomascus siki,7,herbivore,0.46
Alouatta sara,7,herbivore,0.18
Alouatta palliata,7,herbivore,0.19
Propithecus edwardsi,7,herbivore,0.55
Propithecus diadema,7,herbivore,0.77
Lontra longicaudis,7,carnivore,0.36
Presbytis comata,7,herbivore,0.55
Phascolarctos cinereus,7,herbivore,0.46
Lophocebus aterrimus,7,herbivore,0.39
Nesotragus moschatus,6,herbivore,0.25
Onychogalea unguifera,6,herbivore,0.25
Presbytis chrysomelas,6,herbivore,0.75
Macaca mulatta,6,herbivore,0.15
Presbytis potenziani,6,herbivore,0.55
Presbytis melalophos,6,herbivore,0.57
Propithecus candidus,6,herbivore,0.78
Propithecus perrieri,6,herbivore,0.77
Nomascus nasutus,6,herbivore,0.64
Nomascus concolor,6,herbivore,0.62
Marmota bobak,6,herbivore,0.22
Alouatta macconnelli,6,herbivore,0.18
Presbytis natunae,6,herbivore,0.40
Alouatta ululata,6,herbivore,0.57
Alouatta arctoidea,6,herbivore,0.18
Presbytis rubicunda,6,herbivore,0.18
Alouatta nigerrima,6,herbivore,0.18
Marmota olympus,6,herbivore,0.23
Presbytis hosei,6,herbivore,0.41
Lagothrix lugens,6,herbivore,0.70
Lagothrix cana,6,herbivore,0.51
Lagothrix poeppigii,6,herbivore,0.39
Lagothrix lagotricha,6,herbivore,0.24
Choloepus didactylus,6,herbivore,0.17
Ateles marginatus,6,herbivore,0.52
Alouatta belzebul,6,herbivore,0.42
Cercopithecus mitis,6,herbivore,0.16
Presbytis frontata,6,herbivore,0.40
Hylobates moloch,6,herbivore,0.45
Spilocuscus rufoniger,6,herbivore,0.88
Speothos venaticus,6,carnivore,0.38
Macaca cyclopis,6,herbivore,0.17
Macaca silenus,6,herbivore,0.49
Lutra sumatrana,6,carnivore,0.66
Dorcopsis atrata,6,herbivore,0.89
Hylobates muelleri,6,herbivore,0.45
Presbytis siamensis,6,herbivore,0.30
Hylobates agilis,6,herbivore,0.45
Hylobates klossii,6,herbivore,0.46
Hylobates albibarbis,6,herbivore,0.47
Marmota himalayana,6,herbivore,0.24
Cerdocyon thous,6,omnivore,0.25
Petrogale persephone,6,herbivore,0.69
Hylobates lar,6,herbivore,0.43
Alouatta caraya,6,herbivore,0.18
Hylobates pileatus,6,herbivore,0.46
Spilocuscus kraemeri,6,herbivore,0.39
