species,body_mass_kg,trophic_guild,probability_extinction
Microgale soricoides,0,insectivore,0.26
Chaerephon johorensis,0,insectivore,0.50
Chaerephon gallagheri,0,insectivore,0.41
Mops petersoni,0,insectivore,0.36
Mops nanulus,0,insectivore,0.24
Mops demonstrator,0,insectivore,0.23
Rhinolophus alcyone,0,insectivore,0.21
Mimon cozumelae,0,insectivore,0.24
Glyphonycteris daviesi,0,insectivore,0.24
Acomys wilsoni,0,herbivore,0.26
Muriculus imberbis,0,herbivore,0.25
Pygoderma bilabiatum,0,herbivore,0.24
Sturnira nana,0,herbivore,0.71
Myopterus daubentonii,0,insectivore,0.41
Otomops papuensis,0,insectivore,0.40
Zapus hudsonius,0,herbivore,0.25
Nyctinomops aurispinosus,0,insectivore,0.23
Nyctinomops macrotis,0,insectivore,0.23
Myodes californicus,0,herbivore,0.26
Gracilinanus dryas,0,omnivore,0.26
Apodemus uralensis,0,herbivore,0.26
Ruwenzorisorex suncoides,0,insectivore,0.54
Microtus majori,0,herbivore,0.27
Microgale gymnorhyncha,0,insectivore,0.26
Cynomops mexicanus,0,insectivore,0.23
Haplonycteris fischeri,0,herbivore,0.26
Sturnira bidens,0,herbivore,0.24
Lophostoma schulzi,0,insectivore,0.23
Suncus montanus,0,insectivore,0.54
Eligmodontia moreni,0,herbivore,0.26
Sminthopsis longicaudata,0,insectivore,0.26
Carollia perspicillata,0,herbivore,0.23
Anthops ornatus,0,insectivore,0.41
Hipposideros hypophyllus,0,insectivore,0.89
Hipposideros orbiculus,0,insectivore,0.50
Hipposideros sorenseni,0,insectivore,0.49
Hipposideros edwardshilli,0,insectivore,0.49
Hipposideros scutinares,0,insectivore,0.48
Hipposideros vittatus,0,insectivore,0.33
Hipposideros rotalis,0,insectivore,0.23
Microtus subterraneus,0,herbivore,0.26
Crocidura elongata,0,omnivore,0.25
Molossus currentium,0,insectivore,0.23
Nycteris javanica,0,insectivore,0.50
Neacomys pictus,0,herbivore,0.44
Mus cervicolor,0,herbivore,0.25
Chironax melanocephalus,0,herbivore,0.25
Nycteris madagascariensis,0,insectivore,0.42
Lonchorhina marinkellei,0,insectivore,0.51
Neacomys dubosti,0,herbivore,0.26
Neacomys minutus,0,herbivore,0.26
Neacomys paracou,0,herbivore,0.26
Neacomys musseri,0,herbivore,0.26
Tadarida aegyptiaca,0,insectivore,0.24
Crocidura theresae,0,omnivore,0.26
Syconycteris australis,0,herbivore,0.25
Mus fragilicauda,0,herbivore,0.25
Sminthopsis griseoventer,0,insectivore,0.27
Leggadina lakedownensis,0,herbivore,0.26
Myotis sicarius,0,insectivore,0.44
Lasiurus egregius,0,insectivore,0.40
Pseudomys novaehollandiae,0,herbivore,0.54
Anoura cultrata,0,herbivore,0.23
Eligmodontia typus,0,herbivore,0.27
Pseudohydromys musseri,0,insectivore,0.44
Crocidura stenocephala,0,omnivore,0.75
Crocidura littoralis,0,omnivore,0.26
Uroderma magnirostrum,0,herbivore,0.24
Choeronycteris mexicana,0,herbivore,0.36
Heimyscus fumosus,0,herbivore,0.26
Eptesicus fuscus,0,insectivore,0.22
Selevinia betpakdalaensis,0,insectivore,0.44
Crocidura poensis,0,omnivore,0.26
Malacothrix typica,0,herbivore,0.26
Pseudantechinus mimulus,0,insectivore,0.39
Sminthopsis murina,0,insectivore,0.26
Chaetodipus pernix,0,herbivore,0.26
Enchisthenes hartii,0,herbivore,0.24
Chaerephon russatus,0,insectivore,0.40
Otopteropus cartilagonodus,0,herbivore,0.26
Pseudohydromys murinus,0,insectivore,0.26
Hyladelphys kalinowskii,0,insectivore,0.26
Mus spretus,0,herbivore,0.26
Sylvisorex ollula,0,insectivore,0.26
Vampyressa melissa,0,herbivore,0.50
Rhinolophus sakejiensis,0,insectivore,0.40
Diclidurus albus,0,insectivore,0.25
Falsistrellus affinis,0,insectivore,0.35
Eligmodontia morgani,0,herbivore,0.26
Crocidura viaria,0,omnivore,0.26
Crocidura batesi,0,omnivore,0.25
Myosciurus pumilio,0,herbivore,0.25
Salpingotulus michaelis,0,omnivore,0.45
Platalina genovensium,0,herbivore,0.35
Chaetodipus spinatus,0,herbivore,0.26
Peromyscus crinitus,0,omnivore,0.26
Macroglossus minimus,0,herbivore,0.25
Hesperoptenus tickelli,0,insectivore,0.24
Uroderma bilobatum,0,herbivore,0.24
Erophylla bombifrons,0,herbivore,0.24
Alionycteris paucidentata,0,herbivore,0.25
Steatomys cuppedius,0,herbivore,0.26
Sphaeronycteris toxophyllum,0,herbivore,0.24
Euderma maculatum,0,insectivore,0.23
Chaerephon ansorgei,0,insectivore,0.23
Macrotus waterhousii,0,omnivore,0.23
Carollia sowelli,0,herbivore,0.24
Hipposideros maggietaylorae,0,insectivore,0.22
Mormoops megalophylla,0,insectivore,0.24
Crocidura ultima,0,omnivore,0.45
Crocidura monax,0,omnivore,0.44
Sminthopsis archeri,0,insectivore,0.44
Crocidura niobe,0,omnivore,0.26
Uropsilus soricipes,0,insectivore,0.26
Mops brachypterus,0,insectivore,0.24
Sminthopsis crassicaudata,0,insectivore,0.26
Cercartetus concinnus,0,herbivore,0.25
Myotis welwitschii,0,insectivore,0.21
Reithrodontomys paradoxus,0,herbivore,0.45
Neacomys guianae,0,herbivore,0.26
Erophylla sezekorni,0,herbivore,0.24
Cynomops greenhalli,0,insectivore,0.23
Lasiurus insularis,0,insectivore,0.48
Sorex bendirii,0,insectivore,0.26
Crocidura hirta,0,omnivore,0.26
Reithrodontomys mexicanus,0,herbivore,0.26
Vespertilio murinus,0,insectivore,0.24
Pipistrellus stenopterus,0,insectivore,0.24
Crocidura andamanensis,0,omnivore,0.93
Megaloglossus woermanni,0,herbivore,0.25
Eptesicus bottae,0,insectivore,0.23
Carollia subrufa,0,herbivore,0.24
Chaetodipus penicillatus,0,herbivore,0.26
Chaetodipus eremicus,0,herbivore,0.25
Microgale nasoloi,0,insectivore,0.53
Chaetodipus nelsoni,0,herbivore,0.26
Sturnira erythromos,0,herbivore,0.24
Crocidura nimbae,0,omnivore,0.38
Pseudomys bolami,0,herbivore,0.26
Promops nasutus,0,insectivore,0.23
Eumops hansae,0,insectivore,0.22
Dymecodon pilirostris,0,insectivore,0.25
Chaetodipus intermedius,0,herbivore,0.26
Chaerephon bivittatus,0,insectivore,0.24
Dermanura tolteca,0,herbivore,0.24
Lonchorhina aurita,0,insectivore,0.24
Phyllonycteris poeyi,0,herbivore,0.23
Thylamys pallidior,0,insectivore,0.26
Monophyllus plethodon,0,herbivore,0.23
Crocidura lanosa,0,omnivore,0.54
Mus oubanguii,0,herbivore,0.45
Lasiurus atratus,0,insectivore,0.24
Chaerephon major,0,insectivore,0.23
Rhinolophus trifoliatus,0,insectivore,0.22
Anoura geoffroyi,0,herbivore,0.24
Neomys teres,0,carnivore,0.26
Neomys fodiens,0,carnivore,0.26
Mus goundae,0,herbivore,0.45
Scotinomys xerampelinus,0,insectivore,0.26
Hipposideros corynophyllus,0,insectivore,0.24
Anoura latidens,0,herbivore,0.23
Barbastella leucomelas,0,insectivore,0.23
Rhinolophus bocharicus,0,insectivore,0.20
Sorex mirabilis,0,insectivore,0.44
Hipposideros coronatus,0,insectivore,0.41
Myotis dasycneme,0,insectivore,0.33
Marmosops parvidens,0,omnivore,0.27
Sminthopsis hirtipes,0,insectivore,0.27
Mus macedonicus,0,herbivore,0.27
Dendromus nyikae,0,omnivore,0.26
Aethalops aequalis,0,herbivore,0.26
Aethalops alecto,0,herbivore,0.26
Planigale novaeguineae,0,carnivore,0.26
Crocidura mindorus,0,omnivore,0.45
Molossus aztecus,0,insectivore,0.24
Crocidura lasiura,0,omnivore,0.26
Haeromys minahassae,0,herbivore,0.54
Nyctinomops femorosaccus,0,insectivore,0.24
Carollia brevicauda,0,herbivore,0.24
Soriculus nigrescens,0,insectivore,0.26
Lasiurus minor,0,insectivore,0.50
Lasiurus degelidus,0,insectivore,0.48
Lasiurus pfeifferi,0,insectivore,0.35
Lasiurus xanthinus,0,insectivore,0.24
Lasiurus varius,0,insectivore,0.23
Lonchophylla handleyi,0,herbivore,0.24
Blarina hylophaga,0,omnivore,0.26
Crocidura zimmeri,0,omnivore,0.45
Crocidura raineyi,0,omnivore,0.44
Crocidura fumosa,0,omnivore,0.26
Crocidura montis,0,omnivore,0.26
Crocidura turba,0,omnivore,0.26
Hylomyscus parvus,0,herbivore,0.26
Nycteris macrotis,0,insectivore,0.24
Chalinolobus gouldii,0,insectivore,0.23
Lorentzimys nouhuysi,0,herbivore,0.26
Balionycteris maculata,0,herbivore,0.26
Hipposideros muscinus,0,insectivore,0.24
Crocidura orii,0,omnivore,0.75
Nycteris tragata,0,insectivore,0.36
Sminthopsis dolichura,0,insectivore,0.26
Anoura luismanueli,0,herbivore,0.24
Mormopterus beccarii,0,insectivore,0.24
Rhinolophus euryotis,0,insectivore,0.22
Crocidura attenuata,0,omnivore,0.25
Mus caroli,0,herbivore,0.26
Platyrrhinus brachycephalus,0,herbivore,0.25
Sauromys petrophilus,0,insectivore,0.24
Phyllonycteris aphylla,0,herbivore,0.87
Lonchophylla concava,0,herbivore,0.24
Sorex unguiculatus,0,insectivore,0.27
Hipposideros nequam,0,insectivore,0.41
Lonchorhina fernandezi,0,insectivore,0.70
Rhinolophus mehelyi,0,insectivore,0.47
Sorex alaskanus,0,insectivore,0.44
Lasiurus ebenus,0,insectivore,0.41
Peromyscus polionotus,0,omnivore,0.27
Marmosa lepida,0,omnivore,0.27
Crocidura rhoditis,0,omnivore,0.26
Calomys laucha,0,herbivore,0.26
Crocidura maurisca,0,omnivore,0.26
Mus spicilegus,0,herbivore,0.25
Hipposideros semoni,0,insectivore,0.24
Hipposideros durgadasi,0,insectivore,0.50
Chiroderma trinitatum,0,herbivore,0.24
Microgale monticola,0,insectivore,0.54
Crocidura luna,0,omnivore,0.27
Calomys tener,0,herbivore,0.25
Glyphonycteris behnii,0,insectivore,0.42
Lonchophylla robusta,0,herbivore,0.23
Molossus molossus,0,insectivore,0.23
Rhinolophus affinis,0,insectivore,0.23
Myotis tricolor,0,insectivore,0.21
Lonchorhina inusitata,0,insectivore,0.41
Rhinolophus inops,0,insectivore,0.23
Harpiocephalus harpia,0,insectivore,0.21
Diclidurus scutatus,0,insectivore,0.26
Rhinolophus hilli,0,insectivore,0.81
Pteronotus gymnonotus,0,insectivore,0.23
Blarina carolinensis,0,omnivore,0.26
Crocidura grassei,0,omnivore,0.26
Microryzomys altissimus,0,herbivore,0.26
Microryzomys minutus,0,herbivore,0.26
Platyrrhinus helleri,0,herbivore,0.24
Graphiurus christyi,0,omnivore,0.26
Rhinolophus clivosus,0,insectivore,0.20
Musonycteris harrisoni,0,herbivore,0.50
Microdipodops pallidus,0,herbivore,0.26
Nyctalus leisleri,0,insectivore,0.25
Hipposideros curtus,0,insectivore,0.51
Hipposideros breviceps,0,insectivore,0.41
Crocidura nigripes,0,omnivore,0.26
Gerbillus amoenus,0,herbivore,0.26
Neomys anomalus,0,carnivore,0.25
Triaenops persicus,0,insectivore,0.23
Myosorex blarina,0,insectivore,0.74
Myosorex rumpii,0,insectivore,0.74
Nyctinomops laticaudatus,0,insectivore,0.24
Carollia castanea,0,herbivore,0.24
Rhinopoma hardwickii,0,insectivore,0.23
Rhinolophus fumigatus,0,insectivore,0.20
Rhinolophus maclaudi,0,insectivore,0.62
Nycteris major,0,insectivore,0.42
Nycteris vinsoni,0,insectivore,0.41
Sorex palustris,0,insectivore,0.26
Eptesicus dimissus,0,insectivore,0.42
Pseudomys calabyi,0,herbivore,0.54
Acrobates pygmaeus,0,insectivore,0.26
Pseudomys patrius,0,herbivore,0.26
Platymops setiger,0,insectivore,0.24
Reithrodontomys darienensis,0,herbivore,0.26
Microtus daghestanicus,0,herbivore,0.26
Myosorex longicaudatus,0,insectivore,0.55
Asellia patrizii,0,insectivore,0.23
Reithrodontomys brevirostris,0,herbivore,0.26
Mimon bennettii,0,omnivore,0.23
Micronycteris hirsuta,0,insectivore,0.24
Rhinolophus capensis,0,insectivore,0.21
Cynomops planirostris,0,insectivore,0.24
Haeromys margarettae,0,herbivore,0.45
Dermanura cinerea,0,herbivore,0.24
Myotis macrotarsus,0,insectivore,0.21
Mus triton,0,insectivore,0.26
Crocidura jenkinsi,0,omnivore,0.93
Gerbillus percivali,0,herbivore,0.44
Gerbillus pusillus,0,herbivore,0.26
Eptesicus japonensis,0,insectivore,0.70
Eptesicus guadeloupensis,0,insectivore,0.68
Eptesicus platyops,0,insectivore,0.39
Eptesicus tatei,0,insectivore,0.39
Eptesicus gobiensis,0,insectivore,0.23
Mus sorella,0,herbivore,0.25
Lasiurus castaneus,0,insectivore,0.39
Prionomys batesi,0,insectivore,0.45
Blarinella quadraticauda,0,insectivore,0.40
Blarinella wardi,0,insectivore,0.26
Blarinella griselda,0,insectivore,0.26
Tadarida brasiliensis,0,insectivore,0.24
Reithrodontomys gracilis,0,herbivore,0.25
Crocidura tanakae,0,omnivore,0.26
Microgale taiva,0,insectivore,0.26
Neonycteris pusilla,0,insectivore,0.42
Lasiurus borealis,0,insectivore,0.24
Lasiurus blossevillii,0,insectivore,0.23
Dermanura glauca,0,herbivore,0.25
Diclidurus ingens,0,insectivore,0.41
Myosorex cafer,0,insectivore,0.26
Mus phillipsi,0,herbivore,0.26
Microdipodops megacephalus,0,herbivore,0.26
Microgale cowani,0,insectivore,0.25
Rhinolophus rouxii,0,insectivore,0.26
Sorex isodon,0,insectivore,0.26
Eumops bonariensis,0,insectivore,0.24
Cryptotis meridensis,0,carnivore,0.54
Pseudomys hermannsburgensis,0,herbivore,0.26
Lasiurus ega,0,insectivore,0.23
Paracrocidura schoutedeni,0,insectivore,0.26
Cynomops paranus,0,insectivore,0.39
Idionycteris phyllotis,0,insectivore,0.24
Rhinolophus acuminatus,0,insectivore,0.25
Crocidura eisentrauti,0,omnivore,0.54
Salinomys delicatus,0,herbivore,0.44
Crocidura brunnea,0,omnivore,0.27
Pseudomys johnsoni,0,herbivore,0.26
Crocidura fuliginosa,0,omnivore,0.26
Crocidura baluensis,0,omnivore,0.26
Crocidura orientalis,0,omnivore,0.26
Crocidura lepidura,0,omnivore,0.26
Dendromus lovati,0,omnivore,0.26
Crocidura malayana,0,omnivore,0.26
Crocidura negligens,0,omnivore,0.25
Philetor brachypterus,0,insectivore,0.25
Hipposideros stenotis,0,insectivore,0.23
Rhinolophus creaghi,0,insectivore,0.23
Crocidura telfordi,0,omnivore,0.54
Asellia tridens,0,insectivore,0.24
Scotorepens balstoni,0,insectivore,0.24
Glossophaga longirostris,0,herbivore,0.24
Ariteus flavescens,0,herbivore,0.24
Sylvisorex morio,0,insectivore,0.75
Nycteris parisii,0,insectivore,0.41
Nycteris aurita,0,insectivore,0.25
Perognathus amplus,0,herbivore,0.26
Crocidura usambarae,0,omnivore,0.55
Macrotus californicus,0,omnivore,0.24
Scotorepens orion,0,insectivore,0.23
Lonchophylla dekeyseri,0,herbivore,0.71
Lonchophylla bokermanni,0,herbivore,0.69
Lonchophylla hesperia,0,herbivore,0.37
Crocidura selina,0,omnivore,0.45
Crocidura tenuis,0,omnivore,0.44
Crocidura zaphiri,0,omnivore,0.44
Crocidura vosmaeri,0,omnivore,0.43
Sturnira mordax,0,herbivore,0.24
Cryptotis thomasi,0,carnivore,0.27
Sicista severtzovi,0,herbivore,0.27
Cryptotis medellinia,0,carnivore,0.26
Crocidura nigrofusca,0,omnivore,0.27
Sicista subtilis,0,herbivore,0.26
Megasorex gigas,0,insectivore,0.26
Dermanura phaeotis,0,herbivore,0.24
Paracrocidura maxima,0,insectivore,0.27
Myosorex varius,0,insectivore,0.25
Myosorex kihaulei,0,insectivore,0.74
Myosorex zinki,0,insectivore,0.25
Hesperoptenus gaskelli,0,insectivore,0.41
Sminthopsis ooldea,0,insectivore,0.25
Scotinomys teguina,0,insectivore,0.26
Mormopterus jugularis,0,insectivore,0.24
Mus booduga,0,herbivore,0.26
Reithrodontomys fulvescens,0,herbivore,0.26
Rhinolophus pearsonii,0,insectivore,0.25
Myopterus whitleyi,0,insectivore,0.24
Crocidura somalica,0,omnivore,0.25
Pseudomys chapmani,0,herbivore,0.26
Perognathus fasciatus,0,herbivore,0.27
Salpingotus crassicauda,0,omnivore,0.26
Crocidura negrina,0,omnivore,0.75
Crocidura kivuana,0,omnivore,0.40
Nyctophilus gouldi,0,insectivore,0.25
Planigale maculata,0,carnivore,0.26
Monodelphis kunsi,0,omnivore,0.26
Cryptotis montivaga,0,carnivore,0.26
Pteronotus macleayii,0,insectivore,0.24
Histiotus velatus,0,insectivore,0.41
Glauconycteris variegata,0,insectivore,0.24
Eptesicus chiriquinus,0,insectivore,0.24
Dermanura watsoni,0,herbivore,0.25
Mus setulosus,0,herbivore,0.26
Crocidura tansaniana,0,omnivore,0.40
Histiotus magellanicus,0,insectivore,0.24
Histiotus montanus,0,insectivore,0.24
Emballonura furax,0,insectivore,0.25
Rhinolophus canuti,0,insectivore,0.48
Rhinolophus guineensis,0,insectivore,0.47
Rhinolophus ruwenzorii,0,insectivore,0.45
Rhinolophus nereis,0,insectivore,0.42
Rhinolophus subrufus,0,insectivore,0.42
Rhinolophus mitratus,0,insectivore,0.40
Rhinolophus osgoodi,0,insectivore,0.40
Rhinolophus adami,0,insectivore,0.39
Rhinolophus silvestris,0,insectivore,0.39
Rhinolophus deckenii,0,insectivore,0.34
Rhinolophus rex,0,insectivore,0.23
Rhinolophus formosae,0,insectivore,0.23
Rhinolophus beddomei,0,insectivore,0.22
Histiotus humboldti,0,insectivore,0.41
Crocidura musseri,0,omnivore,0.45
Crocidura hilliana,0,omnivore,0.45
Crocidura katinka,0,omnivore,0.44
Crocidura ramona,0,omnivore,0.26
Crocidura hutanis,0,omnivore,0.25
Crocidura gmelini,0,omnivore,0.25
Histiotus laephotis,0,insectivore,0.23
Crocidura armenica,0,omnivore,0.46
Crocidura grandis,0,omnivore,0.45
Crocidura pitmani,0,omnivore,0.45
Crocidura fischeri,0,omnivore,0.45
Crocidura macowi,0,omnivore,0.45
Crocidura susiana,0,omnivore,0.44
Crocidura erica,0,omnivore,0.44
Crocidura floweri,0,omnivore,0.44
Dendromus insignis,0,omnivore,0.26
Nyctophilus sherrini,0,insectivore,0.42
Reithrodontomys raviventris,0,herbivore,0.74
Cryptotis squamipes,0,carnivore,0.26
Reithrodontomys zacatecae,0,herbivore,0.26
Diplomesodon pulchellum,0,omnivore,0.25
Histiotus macrotus,0,insectivore,0.24
Myotis altarium,0,insectivore,0.22
Chaerephon pumilus,0,insectivore,0.24
Eptesicus andinus,0,insectivore,0.23
Crocidura pergrisea,0,omnivore,0.44
Crocidura sibirica,0,omnivore,0.25
Paracrocidura graueri,0,insectivore,0.44
Rhinolophus montanus,0,insectivore,0.67
Rhinolophus philippinensis,0,insectivore,0.22
Sicista tianshanica,0,herbivore,0.26
Reithrodontomys montanus,0,herbivore,0.25
Rhinolophus ziama,0,insectivore,0.65
Rhinolophus maendeleo,0,insectivore,0.40
Rhinolophus convexus,0,insectivore,0.38
Rhinolophus hillorum,0,insectivore,0.31
Crocidura leucodon,0,omnivore,0.26
Crocidura xantippe,0,omnivore,0.27
Pseudomys pilligaensis,0,herbivore,0.44
Glauconycteris gleni,0,insectivore,0.41
Anoura caudifer,0,herbivore,0.24
Histiotus alienus,0,insectivore,0.40
Nycteris arge,0,insectivore,0.24
Myosorex tenuis,0,insectivore,0.44
Myosorex schalleri,0,insectivore,0.44
Crocidura desperata,0,omnivore,0.55
Reithrodontomys megalotis,0,herbivore,0.26
Eptesicus nilssonii,0,insectivore,0.23
Crocidura grayi,0,omnivore,0.27
Coleura afra,0,insectivore,0.26
Crocidura roosevelti,0,omnivore,0.26
Suncus ater,0,insectivore,0.44
Nycteris intermedia,0,insectivore,0.24
Coleura seychellensis,0,insectivore,0.91
Rhinolophus madurensis,0,insectivore,0.48
Rhinolophus sinicus,0,insectivore,0.25
Rhinolophus shortridgei,0,insectivore,0.25
Rhinolophus siamensis,0,insectivore,0.25
Ametrida centurio,0,herbivore,0.25
Crocidura pullata,0,omnivore,0.45
Dendromus vernayi,0,omnivore,0.44
Crocidura rapax,0,omnivore,0.43
Dendromus mesomelas,0,omnivore,0.27
Dendromus kivu,0,omnivore,0.27
Crocidura beatus,0,omnivore,0.26
Myotis grisescens,0,insectivore,0.43
Lasionycteris noctivagans,0,insectivore,0.26
Neoromicia flavescens,0,insectivore,0.41
Microgale drouhardi,0,insectivore,0.27
Graphiurus kelleni,0,omnivore,0.26
Rhinolophus cognatus,0,insectivore,0.70
Crocidura virgata,0,omnivore,0.26
Rhinolophus subbadius,0,insectivore,0.24
Choeroniscus periosus,0,herbivore,0.51
Falsistrellus mordax,0,insectivore,0.42
Crocidura caspica,0,omnivore,0.44
Crocidura foetida,0,omnivore,0.27
Crocidura vorax,0,omnivore,0.26
Myotis adversus,0,insectivore,0.21
Haeromys pusillus,0,herbivore,0.55
Arielulus cuprosus,0,insectivore,0.51
Gerbillus watersi,0,herbivore,0.27
Arielulus torquatus,0,insectivore,0.25
Arielulus aureocollaris,0,insectivore,0.24
Arielulus circumdatus,0,insectivore,0.24
Rhinolophus celebensis,0,insectivore,0.22
Hipposideros speoris,0,insectivore,0.23
Lampronycteris brachyotis,0,insectivore,0.23
Crocidura zimmermanni,0,omnivore,0.76
Crocidura phaeura,0,omnivore,0.75
Crocidura tarella,0,omnivore,0.75
Crocidura polia,0,omnivore,0.44
Crocidura macmillani,0,omnivore,0.40
Crocidura baileyi,0,omnivore,0.26
Crocidura attila,0,omnivore,0.26
Crocidura mariquensis,0,omnivore,0.26
Crocidura beccarii,0,omnivore,0.26
Crocidura pachyura,0,omnivore,0.25
Sicista strandi,0,herbivore,0.26
Corynorhinus townsendii,0,insectivore,0.24
Rhinolophus blasii,0,insectivore,0.22
Crocidura hildegardeae,0,omnivore,0.26
Microhydromys richardsoni,0,insectivore,0.44
Glossophaga leachii,0,herbivore,0.24
Crocidura dsinezumi,0,omnivore,0.26
Crocidura arispa,0,omnivore,0.25
Kerivoula papillosa,0,insectivore,0.22
Crocidura miya,0,omnivore,0.74
Lophuromys melanonyx,0,insectivore,0.55
Microgale principula,0,insectivore,0.26
Microdillus peeli,0,herbivore,0.44
Crocidura buettikoferi,0,omnivore,0.39
Chalinolobus neocaledonicus,0,insectivore,0.70
Chalinolobus tuberculatus,0,insectivore,0.51
Eptesicus floweri,0,insectivore,0.24
Perognathus inornatus,0,herbivore,0.27
Salpingotus kozlovi,0,omnivore,0.26
Hipposideros ruber,0,insectivore,0.23
Kerivoula argentata,0,insectivore,0.23
Sminthopsis youngsoni,0,insectivore,0.26
Myotis velifer,0,insectivore,0.25
Hipposideros marisae,0,insectivore,0.52
Hipposideros dyacorum,0,insectivore,0.24
Dermanura gnoma,0,herbivore,0.25
Rhinolophus megaphyllus,0,insectivore,0.24
Sicista concolor,0,herbivore,0.26
Mormopterus acetabulosus,0,insectivore,0.69
Mormopterus phrudus,0,insectivore,0.51
Mormopterus minutus,0,insectivore,0.51
Mormopterus doriae,0,insectivore,0.41
Mormopterus kalinowskii,0,insectivore,0.23
Sicista caucasica,0,herbivore,0.54
Sorex raddei,0,insectivore,0.26
Crocidura fulvastra,0,omnivore,0.26
Sicista napaea,0,herbivore,0.26
Desmodilliscus braueri,0,herbivore,0.26
Mus mahomet,0,herbivore,0.26
Scotorepens greyii,0,insectivore,0.24
Chaerephon chapini,0,insectivore,0.24
Sylvisorex oriundus,0,insectivore,0.44
Glossophaga soricina,0,herbivore,0.24
Crocidura russula,0,omnivore,0.26
Nyctophilus bifax,0,insectivore,0.24
Lasiurus seminolus,0,insectivore,0.23
Peropteryx kappleri,0,insectivore,0.25
Mus tenellus,0,herbivore,0.26
Salpingotus pallidus,0,omnivore,0.44
Crocidura jouvenetae,0,omnivore,0.26
Pseudomys delicatulus,0,herbivore,0.26
Lophostoma brasiliense,0,insectivore,0.23
Myotis annectans,0,insectivore,0.22
Myosorex babaulti,0,insectivore,0.27
Hesperoptenus doriae,0,insectivore,0.42
Corynorhinus mexicanus,0,insectivore,0.37
Tarsipes rostratus,0,herbivore,0.26
Rhinolophus shameli,0,insectivore,0.24
Rhinophylla fischerae,0,herbivore,0.24
Hipposideros obscurus,0,insectivore,0.23
Myotis pilosus,0,insectivore,0.46
Myotis cobanensis,0,insectivore,0.40
Myotis schaubi,0,insectivore,0.39
Myotis stalkeri,0,insectivore,0.38
Myotis longipes,0,insectivore,0.38
Myotis morrisi,0,insectivore,0.38
Myotis punicus,0,insectivore,0.36
Myotis moluccarum,0,insectivore,0.21
Myotis macropus,0,insectivore,0.21
Myotis fimbriatus,0,insectivore,0.21
Myotis pequinius,0,insectivore,0.20
Hipposideros ridleyi,0,insectivore,0.50
Rhinophylla alethina,0,herbivore,0.36
Neurotrichus gibbsii,0,insectivore,0.25
Eudiscopus denticulus,0,insectivore,0.25
Rhinophylla pumilio,0,herbivore,0.24
Mus neavei,0,herbivore,0.45
Rhinolophus borneensis,0,insectivore,0.24
Myotis bechsteinii,0,insectivore,0.33
Myotis bombinus,0,insectivore,0.35
Hipposideros caffer,0,insectivore,0.23
Suncus dayi,0,insectivore,0.74
Suncus stoliczkanus,0,insectivore,0.26
Myotis aelleni,0,insectivore,0.41
Pteronotus davyi,0,insectivore,0.23
Rhinolophus landeri,0,insectivore,0.22
Episoriculus leucops,0,insectivore,0.26
Murina cyclotis,0,insectivore,0.22
Myosorex geata,0,insectivore,0.75
Hipposideros galeritus,0,insectivore,0.23
Sorex coronatus,0,insectivore,0.25
Hipposideros macrobullatus,0,insectivore,0.42
Hipposideros megalotis,0,insectivore,0.24
Glauconycteris argentata,0,insectivore,0.23
Crocidura trichura,0,omnivore,0.93
Salpingotus heptneri,0,omnivore,0.44
Cormura brevirostris,0,insectivore,0.24
Myosorex eisentrauti,0,insectivore,0.92
Crocidura picea,0,omnivore,0.75
Crocidura ansellorum,0,omnivore,0.75
Crocidura thomensis,0,omnivore,0.75
Myosorex okuensis,0,insectivore,0.55
Crocidura manengubae,0,omnivore,0.54
Crocidura hispida,0,omnivore,0.54
Crocidura lucina,0,omnivore,0.54
Myosorex sclateri,0,insectivore,0.40
Crocidura glassi,0,omnivore,0.40
Crocidura greenwoodi,0,omnivore,0.26
Crocidura thalia,0,omnivore,0.26
Crocidura congobelgica,0,omnivore,0.26
Crocidura voi,0,omnivore,0.26
Crocidura latona,0,omnivore,0.26
Crocidura macarthuri,0,omnivore,0.26
Crocidura cinderella,0,omnivore,0.26
Crocidura serezkyensis,0,omnivore,0.26
Crocidura caliginea,0,omnivore,0.26
Crocidura parvipes,0,omnivore,0.26
Crocidura smithii,0,omnivore,0.26
Crocidura palawanensis,0,omnivore,0.25
Mormopterus planiceps,0,insectivore,0.24
Solisorex pearsoni,0,insectivore,0.74
Ningaui ridei,0,insectivore,0.27
Planigale gilesi,0,carnivore,0.25
Nycteris thebaica,0,insectivore,0.25
Eptesicus brasiliensis,0,insectivore,0.23
Sorex araneus,0,insectivore,0.26
Corynorhinus rafinesquii,0,insectivore,0.26
Glossophaga commissarisi,0,herbivore,0.24
Rhinopoma muscatellum,0,insectivore,0.23
Sorex roboratus,0,insectivore,0.25
Perognathus flavescens,0,herbivore,0.27
Triaenops rufus,0,insectivore,0.23
Sylvisorex isabellae,0,insectivore,0.55
Dendromus melanotis,0,omnivore,0.26
Myotis peninsularis,0,insectivore,0.70
Lonchorhina orinocensis,0,insectivore,0.51
Surdisorex polulus,0,insectivore,0.44
Mus terricolor,0,herbivore,0.26
Nycticeius cubanus,0,insectivore,0.36
Baiomys musculus,0,herbivore,0.26
Microgale brevicaudata,0,insectivore,0.26
Nycticeius humeralis,0,insectivore,0.24
Rhinolophus arcuatus,0,insectivore,0.25
Rhinolophus darlingi,0,insectivore,0.20
