"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Acreodi","Goniacodon levisanus",7.692740528,"omnivore",61.5,59.25,"Paleocene","Paleocene","lyons"
"Acreodi","Hapalodectes anthracinus",5.123,"carnivore",55.4,55.25,"Eocene","Eocene","lyons"
"Acreodi","Hapalodectes leptognathus",5.415,"carnivore",53.8,52.2,"Eocene","Eocene","lyons"
"Acreodi","Harpagolestes brevipes",10.67047207,"carnivore",44.75,44.75,"Eocene","Eocene","lyons"
"Acreodi","Harpagolestes leotensis",11.914,"carnivore",41.55,41.15,"Eocene","Eocene","lyons"
"Acreodi","Harpagolestes macrocephalus",11.9375,"carnivore",47.55,47.55,"Eocene","Eocene","lyons"
"Acreodi","Harpagolestes uintensis",11.961,"carnivore",44.95,42.7,"Eocene","Eocene","lyons"
"Acreodi","Mesonyx obtusidens",10.915,"carnivore",51.75,44.75,"Eocene","Eocene","lyons"
"Acreodi","Microclaenodon assurgens",7.22640016,"omnivore",61.5,60.9,"Paleocene","Paleocene","lyons"
"Acreodi","Oxyclaenus corax",7.134,"omnivore",63.3,63.3,"Paleocene","Paleocene","lyons"
"Acreodi","Oxyclaenus cuspidatus",7.39,"omnivore",64.15,63.7,"Paleocene","Paleocene","lyons"
"Acreodi","Oxyclaenus pugnax",8.555,"omnivore",63.5,61.75,"Paleocene","Paleocene","lyons"
"Acreodi","Pachyaena gigantea",11.31080928,"carnivore",55.1,53.05,"Eocene","Eocene","lyons"
"Acreodi","Pachyaena gracilis",10.427,"carnivore",55.25,53.05,"Eocene","Eocene","lyons"
"Acreodi","Pachyaena ossifraga",11.08214255,"carnivore",55.45,53.1,"Eocene","Eocene","lyons"
"Acreodi","Pentacodon inversus",7.057,"omnivore",61.5,61.25,"Paleocene","Paleocene","lyons"
"Acreodi","Pentacodon occultus",8.124,"omnivore",61.2,61.2,"Paleocene","Paleocene","lyons"
"Acreodi","Simidectes magnus",8.919,"carnivore",43.55,40,"Eocene","Eocene","lyons"
"Acreodi","Simidectes medius",8.58,"carnivore",43,42.85,"Eocene","Eocene","lyons"
"Acreodi","Simidectes merriami",9.627,"carnivore",40.5,39.75,"Eocene","Eocene","lyons"
"Acreodi","Stelocyon arctylos",8.572,"omnivore",60.5,60.5,"Paleocene","Paleocene","lyons"
"Acreodi","Triisodon quivirensis",11.045,"omnivore",61.5,61.25,"Paleocene","Paleocene","lyons"
"Acreodi","Wyolestes apheles",7.136,"carnivore",55.3,54.9,"Eocene","Eocene","lyons"
"Acreodi","Wyolestes dioctes",6.854,"carnivore",52.5,52.5,"Eocene","Eocene","lyons"
"Acreodi","Wyolestes iglesius",7.011,"carnivore",56.05,56.05,"Paleocene","Paleocene","lyons"
"Afrosoricida","Calcochloris obtusirostris",3.18013499655177,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Carpitalpa arendsi",3.95795193731655,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chlorotalpa sclateri",3.71357206670431,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chrysochloris asiatica",3.89182029811063,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chrysochloris stuhlmanni",3.68386691229039,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chrysochloris visagiei",3.40119738166216,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chrysospalax trevelyani",6.05561471159487,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Chrysospalax villosus",4.7864495332036,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Cryptochloris zyli",3.2188758248682,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Eremitalpa granti",3.26193531432865,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Micropotamogale lamottei",4.24276456734037,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Micropotamogale ruwenzorii",4.59006670041077,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Neamblysomus gunningi",3.33701435288524,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Neamblysomus julianae",3.09104245335832,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Afrosoricida","Potamogale velox",6.49223074407006,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Achaenodon insolens",12.68151635,"herbivore",45.15,45.15,"Eocene","Eocene","lyons"
"Artiodactyla","Achaenodon robustus",12.57330238,"herbivore",48.25,45.15,"Eocene","Eocene","lyons"
"Artiodactyla","Achaenodon uintensis",12.16002871,"herbivore",44.95,44.75,"Eocene","Eocene","lyons"
"Artiodactyla","Aclistomycter dunagani",10.28104244,"herbivore",37.1,36.6,"Eocene","Eocene","lyons"
"Artiodactyla","Aclistomycter middletoni",10.57116816,"herbivore",42.3,38.05,"Eocene","Eocene","lyons"
"Artiodactyla","Addax nasomaculatus",11.156255035307,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Aepinacodon americanus",12.14748307,"herbivore",35.8,33.8,"Eocene","Oligocene","lyons"
"Artiodactyla","Aepinacodon rostratus",11.665,"herbivore",35.1,35.1,"Eocene","Eocene","lyons"
"Artiodactyla","Aepycamelus alexandrae",12.95434373,"herbivore",16.9,15.85,"Miocene","Miocene","lyons"
"Artiodactyla","Aepycamelus robustus",12.93590052,"herbivore",13.8,12.15,"Miocene","Miocene","lyons"
"Artiodactyla","Aepycamelus stocki",12.845,"herbivore",13.7,13.7,"Miocene","Miocene","lyons"
"Artiodactyla","Aepyceros melampus",10.8685700485784,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Afrotragulus parvus",8.699166481,"herbivore",19.5,18.2,"Miocene","Miocene","lyons"
"Artiodactyla","Agalmaceros blicki",11.0020998412042,"herbivore",2.58,0.012,"Pleistocene","Pleistocene","mom"
