"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Rodentia","Gerbilliscus robustus",4.56434819146784,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillurus paeba",3.14845336057165,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillurus setzeri",3.6454498961866,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillurus tytonis",3.43398720448515,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillurus vallinus",3.56246552925828,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus amoenus",2.58021682959233,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus andersoni",3.2908987677154,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus andersoni",3.19867311755068,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus cheesmani",3.3322045101752,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus famulus",3.61091791264422,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus gerbillus",3.2203547307476,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus gleadowi",3.17805383034795,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus henleyi",2.07944154167984,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus henleyi",2.07944154167984,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus latastei",3.67756569421366,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus mesopotamiae",2.99573227355399,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus nanus",3.23867845216438,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus nanus",3.23867845216438,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus nigeriae",3.39114704580865,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus perpallidus",3.5918177412708,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus poecilops",3.44998754583159,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus pusillus",2.53369681395743,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus pyramidum",3.834861144129,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gerbillus watersi",2.34180580614733,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Geringia gloveri",3.294,"herbivore",24.7,24.35,"Oligocene","Oligocene","lyons"
"Rodentia","Geringia mcgregori",3.72,"herbivore",29.25,24.4,"Oligocene","Oligocene","lyons"
"Rodentia","Glaucomys sabrinus",4.63099690621739,"omnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Rodentia","Glaucomys volans",4.15678713840081,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Golunda ellioti",4.03865565636151,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Goniodontomys disjunctus",3.8005,"herbivore",11.4,9.15,"Miocene","Miocene","lyons"
"Rodentia","Grammomys cometes",3.88156379794344,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Grammomys dolichurus",3.7178312760637,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Grammomys ibeanus",3.71843825635548,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Grammomys macmillani",3.58351893845611,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Grammomys minnae",3.58351893845611,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graomys domorum",4.62497281328427,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graomys edithae",3.6988297849671,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graomys griseoflavus",4.21211278295393,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus kelleni",2.35137525716348,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus lorraineus",3.29600000010465,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus murinus",2.94837857717052,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus nagtglasii",3.80666248977032,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus ocularis",3.41114771251532,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus platyops",3.8308129500026,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Graphiurus surdus",2.9959822423092,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Gregorymys curtus",4.67,"herbivore",23.25,21.25,"Oligocene","Miocene","lyons"
"Rodentia","Gregorymys formosus",4.3545,"herbivore",24.35,21.3,"Oligocene","Miocene","lyons"
"Rodentia","Gregorymys larsoni",3.55,"herbivore",18.6,18.6,"Miocene","Miocene","lyons"
"Rodentia","Gregorymys riograndensis",3.781,"herbivore",21.05,21.05,"Miocene","Miocene","lyons"
"Rodentia","Griphomys alecer",2.577,"herbivore",46.75,39.75,"Eocene","Eocene","lyons"
"Rodentia","Guanajuatomys hibbardi",5.116,"herbivore",50.15,50.15,"Eocene","Eocene","lyons"
"Rodentia","Guildayomys hibbardi",4.4125,"herbivore",2.4,2.15,"Pleistocene","Pleistocene","lyons"
"Rodentia","Habromys chinanteco",3.68887945411394,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Habromys lepturus",4.44265125649032,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Habromys lophurus",3.68887945411394,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Habromys simulatus",3.68887945411394,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hadromys humei",4.07753744390572,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Handleyomys fuscatus",3.90199287139079,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Handleyomys intectus",4.10265989382581,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hapalomys delacouri",4.16355963124357,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hapalomys longicaudatus",4.24849524204936,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Haplomys galbreathi",3.663,"herbivore",32.35,32.35,"Oligocene","Oligocene","lyons"
"Rodentia","Harrymys canadensis",3.08,"herbivore",15.9,15.9,"Miocene","Miocene","lyons"
"Rodentia","Harrymys irvini",4.43,"herbivore",18.25,18.2,"Miocene","Miocene","lyons"
"Rodentia","Harrymys magnus",3.924,"herbivore",23.05,17.375,"Oligocene","Miocene","lyons"
"Rodentia","Harrymys woodi",3.773,"herbivore",18.2,18.2,"Miocene","Miocene","lyons"
"Rodentia","Heimyscus fumosus",2.65675690671466,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliophobius argenteocinereus",5.19850255611244,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus gambianus",5.68697196650357,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus mutabilis",5.96614673912369,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus punctatus",5.15905529921453,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus rufobrachium",5.91755155594423,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus ruwenzorii",5.67331639429564,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus undulatus",5.85028397395184,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliosciurus undulatus",5.85028397395184,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heliscomys ostranderi",1.397,"herbivore",37.75,35.65,"Eocene","Eocene","lyons"
"Rodentia","Heliscomys senex",1.459,"herbivore",32.35,32.35,"Oligocene","Oligocene","lyons"
"Rodentia","Heliscomys vetus",1.839,"herbivore",37.65,29.25,"Eocene","Oligocene","lyons"
"Rodentia","Hesperogaulus wilsoni",6.036632368,"herbivore",11.4,9.7,"Miocene","Miocene","lyons"
"Rodentia","Heterocephalus glaber",4.00733318523247,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heteromys anomalus",4.24849524204936,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heteromys australis",5.5891120896726,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heteromys gaumeri",4.15261347034608,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heteromys nelsoni",3.9926809084456,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Heteromys oresterus",4.31481788498043,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hibbardomys fayae",4.474,"herbivore",2.75,2.75,"Pliocene","Pliocene","lyons"
"Rodentia","Hibbardomys marthae",4.439,"herbivore",2.4,2.15,"Pleistocene","Pleistocene","lyons"
"Rodentia","Hibbardomys skinneri",4.666,"herbivore",3,3,"Pliocene","Pliocene","lyons"
"Rodentia","Hibbardomys voorhiesi",4.509,"herbivore",2.5,2.2,"Pleistocene","Pleistocene","lyons"
"Rodentia","Hibbardomys zakrzewskii",4.4325,"herbivore",2.15,2.15,"Pleistocene","Pleistocene","lyons"
"Rodentia","Hitonkala macdonaldtau",3.2325,"herbivore",24.7,23.85,"Oligocene","Oligocene","lyons"
"Rodentia","Hodomys alleni",5.90700627181515,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Holochilus brasiliensis",5.04341866528553,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Holochilus chacarius",5.31811999384422,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Holochilus sciureus",5.14142961101089,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hoplomys gymnurus",5.48063475666664,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hoplomys gymnurus",5.48063475666664,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hybomys planifrons",3.90399083373088,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hybomys trivirgatus",4.04129534113228,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hybomys univittatus",3.86283276123737,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hydrochoerus hydrochaeris",11.41861479,"herbivore",0.4535,0.00491,"Pleistocene","Holocene","lyons"
"Rodentia","Hydromys chrysogaster",6.40687998606931,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylomyscus aeta",2.99573227355399,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylomyscus alleni",2.99322914333587,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylomyscus denniae",3.58351893845611,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylomyscus parvus",2.67399999975802,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylomyscus stella",2.99822915375258,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylopetes alboniger",5.54273305313779,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylopetes lepidus",3.91202300542815,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylopetes phayrei",5.4249500174814,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hylopetes spadiceus",3.91202300542815,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hyperacrius fertilis",3.10234200861225,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hyperacrius wynnei",3.96271611974366,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hystricops venustus",9.2835,"herbivore",11.75,11.75,"Miocene","Miocene","lyons"
"Rodentia","Hystrix africaeaustralis",9.61153129207619,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hystrix brachyura",8.98719682066197,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hystrix cristata",9.90348755253613,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hystrix cristata",9.43348392329039,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Hystrix indica",9.59219561444521,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Ichthyomys hydrobates",4.19569705648239,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Ichthyomys pittieri",4.23555473077362,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Ichthyomys stolzmanni",4.43910379521287,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Ichthyomys tweedii",4.77491296057519,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Idiurus macrotis",3.40119738166216,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Idiurus zenkeri",4.60517018598809,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Irenomys tarsalis",3.76468241752944,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Ischyromys typus",6.642,"herbivore",36.75,18.4,"Eocene","Miocene","lyons"
"Rodentia","Ischyromys veterior",6.206,"herbivore",37.75,33.4,"Eocene","Oligocene","lyons"
"Rodentia","Isothrix bistriata",6.09807428216624,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Isothrix pagurus",5.34710753071747,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Isthmomys flavidus",5.45396977535852,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Isthmomys pirrensis",4.92725368515721,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Isthmomys pirrensis",4.92725368515721,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Jacobsomys verdensis",3.928,"herbivore",4.7,4.7,"Pliocene","Pliocene","lyons"
"Rodentia","Jaculus blanfordi",4.00186370942794,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Jaculus jaculus",4.03512520256213,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Jaculus jaculus",4.03512520256213,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Jaculus orientalis",4.92725368515721,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Jaculus orientalis",4.92725368515721,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Janimus dawsonae",2.754,"herbivore",42.3,42.3,"Eocene","Eocene","lyons"
"Rodentia","Janimus rhinophilus",4.163808689,"herbivore",41.55,41.55,"Eocene","Eocene","lyons"
"Rodentia","Javazapus weeksi",2.48,"herbivore",2.15,2.15,"Pleistocene","Pleistocene","lyons"
"Rodentia","Jaywilsonomys ojinagaensis",6.247,"herbivore",38.6,36.95,"Eocene","Eocene","lyons"
"Rodentia","Jimomys labaughi",4.242,"herbivore",17.25,15.85,"Miocene","Miocene","lyons"
"Rodentia","Jimomys lulli",3.321,"herbivore",25.8,25.8,"Oligocene","Oligocene","lyons"
"Rodentia","Juliomys pictipes",3.13113691056019,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Juscelinomys candango",4.57778871164685,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Kannabateomys amblyonyx",6.39692632187726,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Kansasimys dubius",4.9095,"herbivore",9.25,7.15,"Miocene","Miocene","lyons"
"Rodentia","Kansasimys wilsoni",5.431,"herbivore",6.85,6.85,"Miocene","Miocene","lyons"
"Rodentia","Kerodon rupestris",6.68461172766793,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Kirkomys nebraskensis",3.067043344,"herbivore",33.3,20.43,"Oligocene","Miocene","supp"
"Rodentia","Knightomys cremneus",3.297,"herbivore",54.4,54.4,"Eocene","Eocene","lyons"
"Rodentia","Knightomys cuspidatus",3.877,"herbivore",51.8,51.8,"Eocene","Eocene","lyons"
"Rodentia","Knightomys depressus",4.173,"herbivore",54.9,50.1,"Eocene","Eocene","lyons"
"Rodentia","Knightomys huerfanensis",4.683,"herbivore",52.1,50.1,"Eocene","Eocene","lyons"
"Rodentia","Knightomys minor",3.539,"herbivore",55.2,52.8,"Eocene","Eocene","lyons"
"Rodentia","Knightomys reginensis",2.285,"herbivore",53.65,52.85,"Eocene","Eocene","lyons"
"Rodentia","Knightomys senior",3.793,"herbivore",52.5,51.9,"Eocene","Eocene","lyons"
"Rodentia","Kunsia fronto",5.12396397940326,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Kunsia tomentosus",4.75014460671989,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lagidium viscacia",7.33953574735383,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lagidium wolffsohni",7.8943210466858,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lagostomus maximus",8.44408601061144,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lagurus lagurus",3.01062088604774,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Laredomys riograndensis",1.782,"herbivore",43.3,43.3,"Eocene","Eocene","lyons"
"Rodentia","Lariscus insignis",5.29831736654804,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lasiopodomys brandtii",4.54137805290031,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lasiopodomys deceitensis",5.2,"herbivore",1.3,0.1,"Pleistocene","Pleistocene","lyons"
"Rodentia","Lasiopodomys fuscus",3.74950407593037,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leggadina forresti",2.99573227355399,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leggadina lakedownensis",2.86220088092947,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leidymys blacki",4.139,"herbivore",29.25,22.9,"Oligocene","Miocene","lyons"
"Rodentia","Leidymys cerasus",3.727,"herbivore",23.9,23.9,"Oligocene","Oligocene","lyons"
"Rodentia","Leidymys korthi",3.774,"herbivore",24.7,24.7,"Oligocene","Oligocene","lyons"
"Rodentia","Leimacomys buettneri",4.00733318523247,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemmiscus curtatus",3.52373901100109,"herbivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Rodentia","Lemmus lemmus",3.8607297110406,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemmus sibiricus",3.95634606406481,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemmus sibiricus",3.95634606406481,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemniscomys barbarus",3.50954343616035,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemniscomys griselda",4.06044301054642,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemniscomys macculus",3.27714473299218,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemniscomys rosalia",4.08260930600368,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lemniscomys striatus",3.64108004898064,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lenothrix canus",4.78749174278205,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lenoxus apicalis",3.9815304111863,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leopoldamys edwardsi",5.7037824746562,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leopoldamys neilli",5.3890717298165,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leopoldamys sabanus",5.8406416573734,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leporillus apicalis",5.01063529409626,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leporillus conditor",5.85793315448346,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Leptodontomys douglassi",1.9925,"herbivore",30.9,29.25,"Oligocene","Oligocene","lyons"
"Rodentia","Leptodontomys quartzi",1.126,"herbivore",13.8,13.8,"Miocene","Miocene","lyons"
"Rodentia","Leptodontomys russelli",1.033,"herbivore",15.9,15.9,"Miocene","Miocene","lyons"
"Rodentia","Leptodontomys stirtoni",1.991,"herbivore",16.9,14,"Miocene","Miocene","lyons"
"Rodentia","Leptoromys wilsoni",4.695,"herbivore",32.35,32.15,"Oligocene","Oligocene","lyons"
"Rodentia","Leptotomus caryophilus",6.624,"herbivore",45.45,40.9,"Eocene","Eocene","lyons"
"Rodentia","Leptotomus guildayi",4.987654606,"herbivore",42.45,36.9,"Eocene","Eocene","lyons"
"Rodentia","Leptotomus parvus",6.843,"herbivore",51.45,45.15,"Eocene","Eocene","lyons"
"Rodentia","Lignimus austridakotensis",2.6985,"herbivore",16,16,"Miocene","Miocene","lyons"
"Rodentia","Lignimus montis",3.657,"herbivore",15.9,13,"Miocene","Miocene","lyons"
"Rodentia","Liodontia alexandrae",5.293,"herbivore",16.4,15.55,"Miocene","Miocene","lyons"
"Rodentia","Litoyoderimys auogoleus",3.834,"herbivore",37.75,37.75,"Eocene","Eocene","lyons"
"Rodentia","Litoyoderimys lustrorum",3.968,"herbivore",37.35,37.3,"Eocene","Eocene","lyons"
"Rodentia","Lonchothrix emiliae",4.9287091471974,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophiomys imhausi",6.62672437174365,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophiparamys debequensis",3.236,"herbivore",55.65,53.4875,"Eocene","Eocene","lyons"
"Rodentia","Lophiparamys murinus",4.476,"herbivore",53.6,52,"Eocene","Eocene","lyons"
"Rodentia","Lophuromys flavopunctatus",4.0943445622221,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophuromys melanonyx",2.32238772029023,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophuromys rahmi",3.63758615972639,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophuromys sikapusi",4.30497008897734,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lophuromys woosnami",3.74123468444786,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Loxodontomys micropus",4.28632762928669,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Lundomys molitor",5.47437350319172,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Macrognathomys gemmacolis",1.897,"herbivore",12.45,11.7,"Miocene","Miocene","lyons"
"Rodentia","Macrognathomys nanus",1.65,"herbivore",12.2,10.85,"Miocene","Miocene","lyons"
"Rodentia","Madromys blanfordi",4.94875989037817,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Makalata didelphoides",5.33679325746504,"herbivore",2.58,0,"Pleistocene","Holocene","mom, mom"
"Rodentia","Malacomys edwardsi",4.17361774311661,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Malacomys longipes",4.56017282005736,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Malacothrix typica",2.59525470695687,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota baibacina",8.9226582995244,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota bobak",8.61250337122056,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota broweri",8.13300021858361,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota caligata",8.88599818789773,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota camtschatica",8.1605182474775,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota caudata",8.37793112408273,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota flaviventris",7.877102289991,"herbivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Rodentia","Marmota himalayana",8.51719319141624,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota korthi",7.62,"herbivore",9.45,9.45,"Miocene","Miocene","lyons"
"Rodentia","Marmota marmota",7.60589000105312,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota menzbieri",8.08641027532378,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota minor",7.0915,"herbivore",9.6,9.6,"Miocene","Miocene","lyons"
"Rodentia","Marmota monax",8.09435430592389,"herbivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Rodentia","Marmota nevadensis",8.942,"herbivore",9.6,8.3,"Miocene","Miocene","lyons"
"Rodentia","Marmota olympus",8.74830364253755,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota sibirica",8.98719682066197,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Marmota vancouverensis",8.74830364253755,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Mastacomys fuscus",4.80402104473326,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Mastomys coucha",3.77276093809464,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Mastomys erythroleucus",4.02802668118445,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Mastomys natalensis",4.06384018317844,"omnivore",2.58,0,"Pleistocene","Holocene","mom, mom"
"Rodentia","Mastomys shortridgei",3.83945231259331,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Mattimys kalicola",3.448,"herbivore",53.65,50.9375,"Eocene","Eocene","lyons"
"Rodentia","Maxomys inas",4.49980967033027,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Maxomys moi",4.99043258677874,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Maxomys rajah",5.01063529409626,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Maxomys surifer",4.93459622781067,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Maxomys whiteheadi",3.99513177715051,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Megadendromus nikolausi",3.95124371858143,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Megadontomys thomasi",4.70952119226274,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Rodentia","Megapeomys bobwilsoni",6.02,"herbivore",17.95,17.95,"Miocene","Miocene","lyons"
"Rodentia","Megasminthus gladiofex",3.592,"herbivore",13.8,13.8,"Miocene","Miocene","lyons"
"Rodentia","Megasminthus tiheni",4.026,"herbivore",16,12.45,"Miocene","Miocene","lyons"
