taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
426041,,Pediomyidae,Protolambda florencae,,,,,,,,,,31,72.1,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
51058,,Pediomyidae,Protolambda hatcheri,,,,,,,,,,38,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
348240,,Pediomyidae,Protolambda mcgilli,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
348242,,Periptychidae,Paleoungulatum hooleyi,,,3.70,2.80,"Preliminary report on the mammals form Lane's Little Jaw Site Quarry: a latest Cretaceous (earliest Puercan?) local fauna, Hell Creek Formation, southeastern Montana","Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Estimating the body mass of extinct ungulates: a study on the use of multiple regression,7.301335591,1,72.1,66,72.1,66,Maastrichtian,,ground dwelling,Periptychidae,herbivore,Periptychidae
46505,,Picopsidae,Falepetrus barwini,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
50354,,Picopsidae,Picopsis pattersoni,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Mammalia,insectivore,Mammaliaformes
214346,,Soricidae,Cretasorex arkhangelskyi,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,ground dwelling,Soricidae,omnivore,Soricidae
106780,,Spalacotheriidae,Symmetrolestes parvus,,,0.67,0.78,New Early Cretaceous spalacotheriid “symmetrodont” mammal from Japan,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",0.669527429,1,130,113,130,113,Hauterivian,Aptian,,Mammalia,insectivore,Mammaliaformes
212335,,Spalacotheriidae,Spalacotherium evansae,,,0.75,0.65,"New symmetrodonts (Mammalia, Theria) from the Purbeck Limestone Group, Lower Cretaceous, southern England","Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",0.556338999,4,145,140.2,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
216679,,Spalacotheriidae,Yaverlestes gassoni,,,0.83,0.76,"A spalacolestine spalacotheriid (Mammalia, Trechnotheria) from the Early Cretaceous (Barremian) of southern England and its bearing on spalacotheriid evolution","Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",0.972286096,3,129.4,125,129.4,125,Barremian,,,Mammalia,insectivore,Mammaliaformes
