Group/common name,Class,Subclass,Superorder,Order,Family,Genus,Species,"Lmax (Maximum length, cm)",Troph,MainFood,FeedingType,Fresh,Brack,Saltwater,DepthRangeShallow,DepthRangeDeep
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Cirrimaxilla,formosa,16.60,3.57,,,FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,funebris,250.00,4.01,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,1,40
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Muraena,helena,150.00,4.18,,hunting macrofauna (predator),FALSE,FALSE,TRUE,15,50
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,javanicus,300.00,3.87,zoobenthos,,FALSE,FALSE,TRUE,0,50
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,kidako,111.63,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Muraena,lentiginosa,61.00,3.94,,hunting macrofauna (predator),FALSE,FALSE,TRUE,5,25
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Echidna,leucotaenia,75.00,3.50,zoobenthos,,FALSE,TRUE,TRUE,0,24
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,lichenosa,90.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,5,24
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,margaritophorus,70.00,3.53,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,8,25
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Muraena,melanotis,100.00,3.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,45
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,meleagris,120.00,4.50,zoobenthos,hunting macrofauna (predator),FALSE,TRUE,TRUE,1,36
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Uropterygius,micropterus,30.00,3.50,,hunting macrofauna (predator),FALSE,TRUE,TRUE,0,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,miliaris,70.00,3.87,,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,60
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,moluccensis,45.00,4.20,,hunting macrofauna (predator),FALSE,FALSE,TRUE,5,15
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,mordax,152.00,4.50,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,1,40
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,moringa,120.00,4.50,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,200
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Echidna,nebulosa,100.00,3.98,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,2,30
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,neglectus,120.00,4.02,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,niphostigmus,75.70,4.02,,,FALSE,FALSE,TRUE,35,150
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Echidna,nocturna,71.00,3.86,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,30
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,nudivomer,180.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,4,165
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,ocellatus,61.00,4.08,,hunting macrofauna (predator),FALSE,FALSE,TRUE,1,160
